ID,manufacturer,Model,Socket,Chipset,FormFactor,RamType,RamSlots,RamMaxMHZ,RamMaxSizeGB,PCIeVersion,M2Slots,SATAPorts,LanSpeed,WiFi,Bluetooth,AudioChip,USBPortsRear,RGBSupport,Price,category
29,MSI,PRO B760-P DDR4 II,LGA1700,B760,ATX,DDR4,4,5200,128,4.0,2,6,2.5G,-,-,Realtek ALC897,8,RGB,79990,PC
30,GIGABYTE,B760M DS3H DDR4,LGA1700,B760,Micro-ATX,DDR4,4,5333,128,4.0,2,4,2.5G,-,-,Realtek ALC897,6,RGB,64990,PC
31,ASUS,PRIME H510M-A,LGA1200,H510,Micro-ATX,DDR4,2,3200,64,3.0,1,4,1G,-,-,Realtek ALC897,6,-,31990,PC
32,ASRock,B760M-HDV/M.2 D5,LGA1700,B760,Micro-ATX,DDR5,2,6400,96,4.0,2,4,2.5G,-,-,Realtek ALC897,6,RGB,71990,PC
33,MSI,MAG Z790 TOMAHAWK WIFI,LGA1700,Z790,ATX,DDR5,4,7600,192,5.0,4,6,2.5G,WiFi 6E,BT 5.3,Realtek ALC4080,10,ARGB + RGB,199990,PC
34,ASUS,TUF Gaming Z790-PLUS WIFI,LGA1700,Z790,ATX,DDR5,4,7600,192,5.0,4,6,2.5G,WiFi 6E,BT 5.3,Realtek ALC4080,10,ARGB + RGB,189990,PC
35,GIGABYTE,B760 GAMING X,LGA1700,B760,ATX,DDR5,4,6800,128,5.0,3,6,2.5G,-,-,Realtek ALC897,8,ARGB + RGB,99990,PC
36,GIGABYTE,B760M D3HP DDR4,LGA1700,B760,Micro-ATX,DDR4,4,5333,128,4.0,2,4,2.5G,-,-,Realtek ALC897,6,RGB,62990,PC
37,ASUS,PRIME B760M-K D4,LGA1700,B760,Micro-ATX,DDR4,2,5333,64,4.0,2,4,1G,-,-,Realtek ALC897,6,RGB,58990,PC
38,ASRock,B760M-H2/M.2,LGA1700,B760,Micro-ATX,DDR5,2,6400,96,4.0,2,4,2.5G,-,-,Realtek ALC897,6,RGB,69990,PC
39,ASUS,TUF Gaming B860M-PLUS WIFI (90MB1JV0-M0EAY0),LGA1851,B860,Micro-ATX,DDR5,4,7400,192,5.0,3,6,2.5G,WiFi 7,BT 5.4,Realtek ALC4082,10,ARGB + RGB,149990,PC
40,ASUS,PRIME B760M-A WIFI (90MB1EL0-M0EAY0),LGA1700,B760,Micro-ATX,DDR5,4,6800,128,5.0,2,4,2.5G,WiFi 6,BT 5.2,Realtek ALC897,8,ARGB + RGB,89990,PC
41,ASRock,B760 PRO RS,LGA1700,B760,ATX,DDR5,4,6800,128,5.0,3,6,2.5G,-,-,Realtek ALC897,8,ARGB + RGB,94990,PC
42,MSI,MAG Z890 TOMAHAWK WIFI,LGA1851,Z890,ATX,DDR5,4,8200,192,5.0,4,6,2.5G,WiFi 7,BT 5.4,Realtek ALC4082,10,ARGB + RGB,219990,PC
43,ASUS,PRIME B860M-A WIFI (90MB1JY0-M0EAY0),LGA1851,B860,Micro-ATX,DDR5,4,7200,192,5.0,3,6,2.5G,WiFi 7,BT 5.4,Realtek ALC897,8,ARGB + RGB,119990,PC
44,Asrock,h470 phantom gaming 4,LGA,,,DRR4,4,,,2,,,,,,,,,,PC
